generation,best_fitness,avg_fitness,min_fitness,std_fitness,alltime_best,elapsed_sec,w_open3,w_half3,w_broken4,w_open2,w_half2,w_broken3,w_open1,w_defense_mult,w_center_bonus
1,1.0,0.5098,0.375,0.1922,1.0,840.22,242765.53,54783.34,166421.47,1533.46,1014.53,2036.31,23.8,1.54,137.33
2,0.9,0.5345,0.1429,0.2585,1.0,1044.72,242765.53,54783.34,77435.86,893.39,1014.53,2506.16,11.38,1.13,137.33
1,0.75,0.5022,0.0,0.1169,0.75,4418.15,223774.75,33705.0,36422.39,1694.69,890.43,13854.83,88.39,0.91,68.12
2,0.8636,0.4977,0.0,0.2304,0.8636,4690.2,223774.75,33705.0,36422.39,1694.69,890.43,13854.83,88.39,0.91,68.12
3,0.95,0.4901,0.0625,0.186,0.95,4869.96,98618.51,33705.0,36422.39,1121.69,890.43,3121.5,88.39,0.91,68.12
4,0.95,0.4926,0.0,0.2231,0.95,5420.24,86847.94,33705.0,84333.87,1144.59,890.43,13854.83,2.02,1.18,34.97
5,1.0,0.4842,0.0,0.2717,1.0,5024.41,86847.94,33705.0,84333.87,1144.59,890.43,13854.83,2.02,1.18,34.97
6,0.75,0.4723,0.0625,0.19,1.0,7487.14,82103.55,43272.67,67579.12,1168.69,890.43,17537.53,2.59,1.17,34.97
7,0.7778,0.491,0.0,0.2164,1.0,5597.96,82103.55,43272.67,67579.12,1168.69,890.43,17537.53,2.59,1.17,34.97
8,0.8333,0.4923,0.0833,0.2353,1.0,7009.21,223774.75,12413.31,67579.12,938.14,890.43,17537.53,88.39,1.17,34.97
9,0.6818,0.4883,0.0417,0.1881,1.0,6360.56,98481.12,12413.31,69936.09,1185.29,1369.73,17537.53,2.59,1.17,42.65
10,0.7857,0.4972,0.0,0.1935,1.0,6330.06,98481.12,33705.0,36422.39,1078.38,920.84,11543.36,2.59,1.14,34.97
11,0.9615,0.482,0.0,0.1853,1.0,8101.33,95110.96,25690.95,67579.12,428.18,962.56,20000,88.39,0.99,34.97
12,0.9615,0.4942,0.05,0.2259,1.0,5092.6,95110.96,25690.95,67579.12,428.18,962.56,20000,88.39,0.99,34.97
13,0.8182,0.4878,0.2143,0.1574,1.0,4869.3,95110.96,25690.95,67579.12,428.18,962.56,20000,88.39,0.99,34.97
14,0.85,0.5029,0.0385,0.1988,1.0,3917.54,98481.12,37988.88,83999.44,428.18,962.56,20000,94.26,1.18,35.52
15,0.7083,0.5018,0.0455,0.1812,1.0,2785.86,98481.12,8692.25,57268.55,428.18,935.53,20000,100,1.18,60.22
16,0.6538,0.4931,0.05,0.1672,1.0,2894.33,98481.12,8692.25,55095.15,428.18,962.56,16346.51,94.26,1.18,34.65
17,0.6667,0.509,0.0,0.1641,1.0,3025.17,118773.75,8692.25,55987.0,428.18,944.7,20000,99.61,1.14,37.73
18,0.75,0.4932,0.05,0.1931,1.0,2903.15,98481.12,10899.56,51692.68,428.18,962.56,20000,91.53,1.18,35.52
19,0.7,0.5035,0.125,0.1588,1.0,2957.28,115616.12,13616.74,51692.68,488.75,882.94,20000,88.75,1.14,60.22
20,0.75,0.5092,0.1818,0.1675,1.0,3444.46,98481.12,10899.56,46010.53,380.04,882.94,20000,91.53,1.14,60.22
21,0.875,0.5063,0.125,0.1907,1.0,3806.12,106471.71,33738.49,59640.69,317.61,882.94,20000,93.08,1.14,60.22
22,0.7222,0.4945,0.25,0.1324,1.0,3648.78,98481.12,8692.25,46658.37,365.51,1089.67,16799.96,88.75,1.1,35.52
23,0.7222,0.5002,0.3333,0.068,1.0,2947.35,143124.17,8692.25,67817.0,310.0,1276.45,14832.35,70.19,1.46,38.53
24,0.7308,0.4996,0.25,0.1165,1.0,3600.68,143124.17,10899.56,67817.0,310.0,1276.45,20000,70.19,1.14,60.22
25,0.9643,0.4932,0.1,0.1619,1.0,3365.48,98481.12,8496.59,46658.37,365.92,1418.26,20000,93.08,0.88,76.42
26,0.875,0.4895,0.3333,0.1738,1.0,5336.84,98481.12,33738.49,46658.37,365.92,1418.26,16799.96,81.24,0.88,31.72
27,0.8333,0.4873,0.2143,0.1925,1.0,5031.64,126766.24,26656.72,40639.72,7170.59,1924.45,1708.85,88.17,0.98,54.75
28,0.875,0.5015,0.1538,0.1961,1.0,6362.38,126766.24,26656.72,40639.72,7170.59,1924.45,1708.85,88.17,0.98,54.75
29,0.7727,0.5022,0.25,0.1368,1.0,6070.1,171505.57,8496.59,29022.51,7170.59,1924.45,14737.6,88.75,0.8,54.75
30,0.7778,0.5067,0.2941,0.129,1.0,5480.93,98481.12,70324.89,37337.7,365.92,567.39,14041.53,65.34,0.96,43.02
31,0.8125,0.5169,0.1786,0.1702,1.0,4321.11,88413.85,64596.05,45405.42,365.92,567.39,14041.53,88.75,0.96,55.02
32,0.7,0.4986,0.0556,0.1761,1.0,3213.39,177210.68,70324.89,175360.28,365.92,567.39,16864.05,88.75,0.96,43.02
33,0.7143,0.4966,0.0,0.2059,1.0,2703.73,177210.68,70324.89,37337.7,365.92,595.43,14737.6,88.75,0.98,53.52
34,0.7143,0.5077,0.05,0.2167,1.0,2981.29,177210.68,70324.89,29724.8,267.93,567.39,14737.6,88.75,0.96,53.52
35,0.6,0.5016,0.0714,0.128,1.0,2231.16,98229.85,70324.89,48280.3,267.93,567.39,20000,80.31,0.96,46.64
36,0.6,0.4937,0.0833,0.0946,1.0,2165.77,78025.77,70324.89,48280.3,267.93,567.39,19242.84,80.31,1.07,46.64
37,0.6,0.4921,0.0714,0.0931,1.0,2341.82,104861.72,75574.99,48280.3,267.93,567.39,19242.84,83.01,1.07,46.64
38,0.7222,0.5024,0.1538,0.1158,1.0,3059.03,74247.89,70324.89,47434.06,218.86,724.18,19242.84,80.31,1.07,43.02
